Title,URL,Assignees,Status,Labels
Design and upload team logo,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/1,shahraz1998,Feature Archive,"topic: documentation 📝, type: feature ✨"
Connect Frontend to Backend,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/102,,Product Backlog,"🟧 priority: high, topic: backend, topic: frontend, type: feature ✨"
Case CRUD Operations Frontend,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/104,,Product Backlog,"🟧 priority: high, topic: frontend, type: feature ✨"
Frame Application: Create order from facilities with errors,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/53,"IngoSternberg, PatrickSchm1dt",Product Backlog,"🟧 priority: high, Est Size: 5, topic: frontend, type: feature ✨"
Validation of selection boxes in Orders form,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/80,PatrickSchm1dt,Product Backlog,"🟧 priority: high, Est Size: 3, topic: frontend, type: feature ✨"
Refactor Frontend,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/100,,Product Backlog,"🟨 priority: medium, topic: frontend, type: Refactoring 🛠"
Make charts show multiple data in Y axis,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/99,IngoSternberg,Product Backlog,"🟨 priority: medium, topic: frontend, type: feature ✨"
Write tests for frontend,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/101,,Product Backlog,"🟨 priority: medium, topic: Test/QA 🔍"
Display information box for facilities in details page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/77,,Product Backlog,"🟨 priority: medium, topic: frontend, type: feature ✨"
Function implementation: check if Pump is faulty,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/66,,Product Backlog,"🟨 priority: medium, topic: backend, type: feature ✨"
Function implementation: check if Pump is suspicious ,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/65,,Product Backlog,"🟨 priority: medium, topic: backend, type: feature ✨"
Update README.md to provide entry point to the project,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/40,,Product Backlog,"topic: documentation 📝, type: feature ✨"
Setup Development Environment,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/9,,Product Backlog,"duplicate, topic: backend, topic: CI/CD, topic: frontend, topic: Tool 🔧, type: feature ✨"
Authentication: Reset Password,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/56,,Product Backlog,"🟨 priority: medium, topic: backend, topic: frontend, topic: Security 🔒, type: feature ✨"
Redesign the detailed view page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/63,,Product Backlog,"🟨 priority: medium, duplicate, topic: frontend, type: feature ✨"
Authentication: Emails,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/57,,Product Backlog,"🟨 priority: medium, topic: frontend, type: feature ✨"
Refresh button on all pages,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/64,,Product Backlog,"🟨 priority: medium, topic: frontend, type: feature ✨"
Implement frame application design using iX,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/28,,Product Backlog,"duplicate, topic: frontend, type: feature ✨"
figma concept - ix Figma Library,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/26,,Product Backlog,"duplicate, topic: frontend, type: feature ✨"
